product_id,product_name,category,subcategory,brand,mrp,weight_grams,is_fragile,seller_name,seller_warehouse_city,seller_warehouse_state,seller_warehouse_pincode,seller_rating,listing_date
PROD00045,Slippers - Festive,Footwear,Slippers,Metro Trendz,410,454,No,Pillai Impex,Jamshedpur,Jharkhand,831051,3.4,2025-07-02
PROD00046,School Backpack - Festive Style,Bags & Wallets,School Backpack,Shree Krishna Textiles,1724,177,No,Banerjee Wholesale Mart,Madurai,Tamil Nadu,625001,3.8,2024-04-26
PROD00047,Artificial Plant Pot - Trendy Fit,Home Decor,Artificial Plant Pot,Shree Krishna Textiles,1150,79,Yes,Das Collections,Mumbai,Maharashtra,400067,4.1,2024-05-25
PROD00048,Track Pant - Festive,Men Fashion,Track Pant,Style Bazaar Co,1509,40,No,Sheikh Collections,Indore,Madhya Pradesh,452059,4.1,2025-01-14
PROD00049,Salwar Suit - Trendy Fit,Women Ethnic Wear,Salwar Suit,Shree Krishna Textiles,848,522,Yes,Ansari Impex,Muzaffarpur,Bihar,842044,3.3,2025-06-19
PROD00050,Saree - Classic Style,Women Ethnic Wear,Saree,Shree Krishna Textiles,356,464,No,Mukherjee Wholesale Mart,Thiruvananthapuram,Kerala,695037,4.2,2025-05-23
PROD00051,Kajal Combo - Classic Fit,Jewellery & Cosmetics,Kajal Combo,Fashion Point Surat,844,426,Yes,Ansari Textiles,Warangal,Telangana,506037,3.6,2025-04-11
PROD00052,Wall Clock - Premium Design,Home Decor,Wall Clock,No Brand,835,414,Yes,Pillai Trading Co,Amritsar,Punjab,143083,3.6,2024-10-30
PROD00053,Kajal Combo - Daily Wear Fit,Jewellery & Cosmetics,Kajal Combo,Divine Ethnic Wear,2051,454,Yes,Patel Collections,Thiruvananthapuram,Kerala,695070,3.3,2024-07-02
PROD00054,Men'S Wallet - Casual Style,Bags & Wallets,Men'S Wallet,Style Bazaar Co,1055,135,Yes,Desai Impex,Indore,Madhya Pradesh,452080,4.5,2024-05-05
PROD00055,Wired Earphones - Casual,Mobile Accessories,Wired Earphones,Unbranded,1390,169,Yes,Das Impex,Madurai,Tamil Nadu,625091,4.6,2024-07-26
PROD00056,Kurti Set - Premium,Women Ethnic Wear,Kurti Set,Riya Collections,922,530,No,Gupta Collections,Mumbai,Maharashtra,400015,5,2024-08-27
PROD00057,Earrings Combo - Casual Design,Jewellery & Cosmetics,Earrings Combo,Style Bazaar Co,642,184,Yes,Banerjee Wholesale Mart,Jamshedpur,Jharkhand,831029,3.5,2024-04-04
PROD00058,Artificial Plant Pot - Classic Style,Home Decor,Artificial Plant Pot,Style Bazaar Co,469,333,Yes,Chatterjee Wholesale Mart,Surat,Gujarat,395029,4.2,2025-04-25
PROD00059,Wired Earphones - Classic Fit,Mobile Accessories,Wired Earphones,Priya Creations,856,531,No,Patel Trading Co,Lucknow,Uttar Pradesh,226098,4,2025-04-26
PROD00060,Denim Jeans - Festive Design,Men Fashion,Denim Jeans,Fashion Point Surat,1635,291,No,Sharma Impex,Mysuru,Karnataka,570040,5,2025-03-15
PROD00061,Flat Sandals - Premium Design,Footwear,Flat Sandals,No Brand,1037,161,No,Das Collections,Ludhiana,Punjab,141068,3.4,2025-06-19
PROD00062,Flat Sandals - Daily Wear Style,Footwear,Flat Sandals,Unbranded,958,300,Yes,Nair Impex,Rajkot,Gujarat,360069,4.4,2024-06-08
PROD00063,Phone Back Cover - Festive Fit,Mobile Accessories,Phone Back Cover,Om Wholesale Mart,954,333,Yes,Sharma Trading Co,Ghaziabad,Uttar Pradesh,201004,3.5,2024-06-23
PROD00064,School Backpack - Premium Style,Bags & Wallets,School Backpack,Aaradhya Fashion Hub,320,251,Yes,Agarwal Collections,Amritsar,Punjab,143068,4.5,2024-08-10
PROD00065,Flat Sandals - Classic Style,Footwear,Flat Sandals,Riya Collections,827,75,Yes,Singh Textiles,Jaipur,Rajasthan,302017,4.1,2024-07-20
PROD00066,School Backpack - Premium Design,Bags & Wallets,School Backpack,No Brand,909,155,Yes,Banerjee Wholesale Mart,Ludhiana,Punjab,141016,4.1,2025-12-27
PROD00067,Kids Nightwear - Casual Design,Kids Wear,Kids Nightwear,Divine Ethnic Wear,759,98,Yes,Mishra Collections,Chennai,Tamil Nadu,600053,4.2,2024-05-22
PROD00068,Flat Sandals - Trendy Fit,Footwear,Flat Sandals,Unbranded,1001,588,No,Patel Enterprises,New Delhi,Delhi,110060,4.6,2025-04-16
PROD00069,Lipstick Combo - Trendy Fit,Jewellery & Cosmetics,Lipstick Combo,Generic,345,143,No,Agarwal Impex,Guwahati,Assam,781040,4.3,2024-08-22
PROD00070,Kurti Set - Trendy Design,Women Ethnic Wear,Kurti Set,Comfort Zone India,975,463,No,Sharma Trading Co,Bhopal,Madhya Pradesh,462094,5,2024-03-10
PROD00071,Track Pant - Trendy,Men Fashion,Track Pant,Shree Krishna Textiles,1006,599,No,Mishra Collections,Chandigarh,Chandigarh,160014,4.6,2025-03-01
PROD00072,Earrings Combo - Trendy Style,Jewellery & Cosmetics,Earrings Combo,Priya Creations,1052,280,Yes,Sheikh Collections,Lucknow,Uttar Pradesh,226062,4.5,2025-07-23
PROD00073,Wired Earphones - Classic Fit,Mobile Accessories,Wired Earphones,Om Wholesale Mart,481,297,No,Rao Enterprises,Chennai,Tamil Nadu,600077,3.7,2024-05-23
PROD00074,Slippers - Casual Design,Footwear,Slippers,Divine Ethnic Wear,769,859,No,Joshi Enterprises,Ahmedabad,Gujarat,380015,2.9,2025-08-01
PROD00075,Window Curtain - Daily Wear Style,Home & Kitchen,Window Curtain,Priya Creations,1072,40,Yes,Sheikh Wholesale Mart,Surat,Gujarat,395045,3.7,2025-06-29
PROD00076,Slippers - Premium Design,Footwear,Slippers,Unbranded,1338,364,Yes,Sharma Textiles,Muzaffarpur,Bihar,842027,3.4,2024-09-01
PROD00077,Flat Sandals - Trendy Design,Footwear,Flat Sandals,No Brand,496,499,Yes,Iyer Impex,Faridabad,Haryana,121058,3.6,2024-05-05
PROD00078,Kurti Set - Festive,Women Ethnic Wear,Kurti Set,Fashion Point Surat,828,360,Yes,Reddy Trading Co,Kanpur,Uttar Pradesh,208022,3.6,2024-03-17
PROD00079,Non-Stick Pan - Festive,Home & Kitchen,Non-Stick Pan,Shree Krishna Textiles,2390,489,Yes,Mishra Trading Co,Jodhpur,Rajasthan,342075,2.8,2025-01-16
PROD00080,Lehenga Choli - Daily Wear Fit,Women Ethnic Wear,Lehenga Choli,Unbranded,814,204,No,Joshi Enterprises,Lucknow,Uttar Pradesh,226006,4.5,2025-08-25
PROD00081,Boys T-Shirt Set - Daily Wear,Kids Wear,Boys T-Shirt Set,Priya Creations,475,324,Yes,Chauhan Collections,Kochi,Kerala,682092,4.3,2024-07-27
PROD00082,Ladies Handbag - Premium Design,Bags & Wallets,Ladies Handbag,Comfort Zone India,1183,85,Yes,Shah Trading Co,Udaipur,Rajasthan,313009,3.8,2024-06-30
PROD00083,Photo Frame Set - Trendy,Home Decor,Photo Frame Set,Unbranded,566,206,Yes,Mukherjee Wholesale Mart,Pune,Maharashtra,411005,,2025-04-01
PROD00084,Denim Jeans - Premium Fit,Men Fashion,Denim Jeans,Om Wholesale Mart,918,72,No,Rathore Wholesale Mart,New Delhi,Delhi,110020,4.6,2024-07-31
PROD00085,Artificial Plant Pot - Festive Fit,Home Decor,Artificial Plant Pot,Unbranded,2362,577,No,Mukherjee Enterprises,Jodhpur,Rajasthan,342019,3.1,2025-06-26
PROD00086,Kids Frock - Casual Style,Kids Wear,Kids Frock,Priya Creations,563,628,No,Naidu Wholesale Mart,Muzaffarpur,Bihar,842010,,2024-10-29
PROD00087,Artificial Plant Pot - Classic,Home Decor,Artificial Plant Pot,Unbranded,938,520,Yes,Menon Wholesale Mart,Warangal,Telangana,506000,3.4,2025-05-30
PROD00088,Lehenga Choli - Trendy,Women Ethnic Wear,Lehenga Choli,Divine Ethnic Wear,711,40,Yes,Mukherjee Wholesale Mart,Chennai,Tamil Nadu,600037,,2025-09-25
PROD00089,Saree - Casual,Women Ethnic Wear,Saree,Style Bazaar Co,640,75,No,Desai Trading Co,Pune,Maharashtra,411056,5,2025-01-05
PROD00090,Saree - Trendy Design,Women Ethnic Wear,Saree,Aaradhya Fashion Hub,335,253,No,Joshi Impex,Nashik,Maharashtra,42203,4.1,2025-06-07
PROD00091,Artificial Plant Pot - Classic Fit,Home Decor,Artificial Plant Pot,No Brand,1624,40,Yes,Joshi Textiles,Mumbai,Maharashtra,400062,4.7,2024-08-09
PROD00092,Casual T-Shirt - Classic Fit,Men Fashion,Casual T-Shirt,Riya Collections,739,134,No,Gupta Wholesale Mart,Guwahati,Assam,781028,4.3,2025-09-25
PROD00093,School Backpack - Casual Fit,Bags & Wallets,School Backpack,Metro Trendz,820,217,No,Das Collections,Muzaffarpur,Bihar,842016,,2024-09-16
PROD00094,Window Curtain - Trendy Design,Home & Kitchen,Window Curtain,Riya Collections,595,374,No,Mishra Enterprises,Gurugram,Haryana,122006,,2024-04-24
PROD00095,Track Pant - Trendy Design,Men Fashion,Track Pant,No Brand,1759,77,No,Yadav Trading Co,Ludhiana,Punjab,141031,5,2024-11-17
PROD00096,Flat Sandals - Classic Style,Footwear,Flat Sandals,Aaradhya Fashion Hub,251,316,Yes,Sheikh Collections,New Delhi,Delhi,110082,4.4,2024-08-13
PROD00097,Casual T-Shirt - Premium Design,Men Fashion,Casual T-Shirt,Generic,858,213,No,Rathore Trading Co,Agra,Uttar Pradesh,282085,3.9,2024-08-22
PROD00098,Window Curtain - Premium Style,Home & Kitchen,Window Curtain,Metro Trendz,561,220,Yes,Singh Impex,Ludhiana,Punjab,141033,,2025-11-04
PROD00099,Tempered Glass - Casual,Mobile Accessories,Tempered Glass,Unbranded,895,197,No,Nair Wholesale Mart,Surat,Gujarat,395084,4.5,2024-07-11
PROD00100,Tempered Glass - Premium Fit,Mobile Accessories,Tempered Glass,No Brand,870,528,No,Nair Wholesale Mart,Guwahati,Assam,781054,4.4,2025-09-12
PROD00101,Kajal Combo - Daily Wear Design,Jewellery & Cosmetics,Kajal Combo,Shree Krishna Textiles,466,226,Yes,Iyer Trading Co,New Delhi,Delhi,110031,4.4,2025-10-24
PROD00102,Phone Back Cover - Classic Style,Mobile Accessories,Phone Back Cover,Shree Krishna Textiles,1028,345,No,Desai Wholesale Mart,Rajkot,Gujarat,360078,4.1,2024-11-26
PROD00103,Kurti Set - Trendy Fit,Women Ethnic Wear,Kurti Set,Shree Krishna Textiles,1484,219,Yes,Mishra Wholesale Mart,Mysuru,Karnataka,570041,4.3,2024-12-12
PROD00104,Bedsheet Set - Casual Design,Home & Kitchen,Bedsheet Set,Comfort Zone India,658,302,No,Joshi Trading Co,Hubli,Karnataka,580084,4.7,2025-05-12
PROD00105,Kurti Set - Daily Wear Design,Women Ethnic Wear,Kurti Set,Style Bazaar Co,1157,528,No,Rao Wholesale Mart,Rajkot,Gujarat,360011,4.8,2024-07-18
PROD00106,Lipstick Combo - Trendy,Jewellery & Cosmetics,Lipstick Combo,Unbranded,744,500,Yes,Das Impex,Nashik,Maharashtra,422080,3.8,2025-01-19
PROD00107,Salwar Suit - Classic,Women Ethnic Wear,Salwar Suit,Divine Ethnic Wear,879,321,No,Bhatt Trading Co,Mysuru,Karnataka,570000,4.1,2024-08-25
PROD00108,Slippers - Classic Fit,Footwear,Slippers,Aaradhya Fashion Hub,1020,169,No,Reddy Trading Co,Madurai,Tamil Nadu,625049,5,2026-01-07
PROD00109,Boys T-Shirt Set - Daily Wear,Kids Wear,Boys T-Shirt Set,Aaradhya Fashion Hub,423,82,Yes,Naidu Enterprises,Mysuru,Karnataka,570044,4.7,2024-12-17
PROD00110,Kids Nightwear - Festive,Kids Wear,Kids Nightwear,No Brand,1136,487,Yes,Verma Collections,Gwalior,Madhya Pradesh,474014,4.4,2024-05-23
PROD00111,Phone Back Cover - Trendy Design,Mobile Accessories,Phone Back Cover,Unbranded,730,152,No,Shah Impex,Udaipur,Rajasthan,313041,4,2025-08-08
PROD00112,Cotton Shirt - Festive Fit,Men Fashion,Cotton Shirt,Unbranded,507,564,No,Gupta Enterprises,Cuttack,Odisha,753069,3.9,2025-01-09
PROD00113,Casual T-Shirt - Festive Fit,Men Fashion,Casual T-Shirt,Comfort Zone India,467,279,No,Gupta Wholesale Mart,Chennai,Tamil Nadu,600024,4.2,2024-12-13
PROD00114,Photo Frame Set - Festive Style,Home Decor,Photo Frame Set,Fashion Point Surat,539,169,Yes,Singh Textiles,Chandigarh,Chandigarh,160035,4.1,2025-09-28
PROD00115,Casual Sneakers - Premium Style,Footwear,Casual Sneakers,Comfort Zone India,841,238,No,Rathore Trading Co,Nashik,Maharashtra,422091,3.7,2025-02-21
PROD00116,Saree - Premium Design,Women Ethnic Wear,Saree,Generic,835,40,Yes,Verma Collections,Kanpur,Uttar Pradesh,208077,3.2,2025-06-29
PROD00117,Power Bank - Trendy,Mobile Accessories,Power Bank,Aaradhya Fashion Hub,495,303,No,Gupta Wholesale Mart,Jamshedpur,Jharkhand,831031,4.2,2025-11-25
PROD00118,Bedsheet Set - Daily Wear Style,Home & Kitchen,Bedsheet Set,Shree Krishna Textiles,1655,538,No,Verma Textiles,Guwahati,Assam,781045,,2025-06-12
PROD00119,Storage Container Set - Daily Wear,Home & Kitchen,Storage Container Set,Fashion Point Surat,727,129,No,Bhatt Textiles,Hubli,Karnataka,580071,4,2024-07-15
PROD00120,Casual T-Shirt - Premium Fit,Men Fashion,Casual T-Shirt,Comfort Zone India,627,420,No,Desai Textiles,Jamshedpur,Jharkhand,831032,3.5,2024-11-18
PROD00121,Tempered Glass - Daily Wear,Mobile Accessories,Tempered Glass,Divine Ethnic Wear,978,687,No,Nair Impex,Udaipur,Rajasthan,313031,3.9,2025-05-27
PROD00122,Storage Container Set - Premium,Home & Kitchen,Storage Container Set,No Brand,917,501,No,Singh Enterprises,Hyderabad,Telangana,500060,3.8,2025-07-17
PROD00123,Kids Frock - Trendy Style,Kids Wear,Kids Frock,Fashion Point Surat,832,352,No,Gupta Trading Co,Nashik,Maharashtra,422075,,2024-10-29
PROD00124,Tempered Glass - Casual,Mobile Accessories,Tempered Glass,No Brand,481,355,Yes,Pillai Trading Co,Cuttack,Odisha,753090,,2024-07-28
PROD00125,Photo Frame Set - Trendy Design,Home Decor,Photo Frame Set,Metro Trendz,1633,561,No,Yadav Trading Co,Mumbai,Maharashtra,400018,5,2024-05-16
PROD00126,Non-Stick Pan - Daily Wear Fit,Home & Kitchen,Non-Stick Pan,Unbranded,482,541,Yes,Verma Collections,Cuttack,Odisha,753090,4.1,2025-04-20
PROD00127,Storage Container Set - Daily Wear Style,Home & Kitchen,Storage Container Set,Riya Collections,2451,172,Yes,Yadav Impex,Ghaziabad,Uttar Pradesh,201081,3.5,2025-12-19
PROD00128,School Backpack - Trendy Style,Bags & Wallets,School Backpack,Metro Trendz,529,40,Yes,Joshi Trading Co,Guwahati,Assam,781000,3.7,2024-11-16
PROD00129,Boys T-Shirt Set - Casual Style,Kids Wear,Boys T-Shirt Set,Divine Ethnic Wear,484,383,No,Khan Impex,Lucknow,Uttar Pradesh,226017,4.2,2025-04-14
PROD00130,Lipstick Combo - Classic Style,Jewellery & Cosmetics,Lipstick Combo,Divine Ethnic Wear,2063,559,No,Gupta Textiles,Kanpur,Uttar Pradesh,208096,3.7,2025-07-29
PROD00131,Bangles Set - Festive Design,Jewellery & Cosmetics,Bangles Set,Metro Trendz,448,458,Yes,Nair Textiles,Gwalior,Madhya Pradesh,474062,,2025-07-30
PROD00132,Casual Sneakers - Festive,Footwear,Casual Sneakers,Style Bazaar Co,2013,609,Yes,Chauhan Trading Co,Bhubaneswar,Odisha,751073,3.7,2024-05-02
PROD00133,Slippers - Trendy Style,Footwear,Slippers,Style Bazaar Co,287,647,Yes,Khan Enterprises,Lucknow,Uttar Pradesh,226057,3.9,2024-05-03
PROD00134,Wall Clock - Premium Style,Home Decor,Wall Clock,Generic,1452,40,No,Malhotra Wholesale Mart,Kanpur,Uttar Pradesh,208034,3.6,2025-10-28
PROD00135,Phone Back Cover - Daily Wear Design,Mobile Accessories,Phone Back Cover,Aaradhya Fashion Hub,737,360,No,Verma Impex,Ludhiana,Punjab,141079,3.7,2025-09-22
PROD00136,Salwar Suit - Premium Design,Women Ethnic Wear,Salwar Suit,Om Wholesale Mart,1035,115,Yes,Iyer Wholesale Mart,Surat,Gujarat,395064,3.9,2024-06-30
PROD00137,Non-Stick Pan - Premium Design,Home & Kitchen,Non-Stick Pan,Priya Creations,785,463,Yes,Reddy Wholesale Mart,Bhopal,Madhya Pradesh,462054,4.4,2025-01-06
PROD00138,Lehenga Choli - Premium Design,Women Ethnic Wear,Lehenga Choli,Metro Trendz,396,40,No,Menon Enterprises,Hubli,Karnataka,580075,,2024-09-19
PROD00139,Salwar Suit - Festive Style,Women Ethnic Wear,Salwar Suit,Riya Collections,883,185,Yes,Pillai Trading Co,Surat,Gujarat,395013,,2024-12-07
PROD00140,Artificial Plant Pot - Daily Wear Design,Home Decor,Artificial Plant Pot,Divine Ethnic Wear,783,609,No,Mukherjee Collections,Warangal,Telangana,506026,4,2025-09-12
PROD00141,Slippers - Classic Design,Footwear,Slippers,Om Wholesale Mart,2283,736,Yes,Shah Enterprises,Lucknow,Uttar Pradesh,226005,3.9,2025-08-11
PROD00142,Denim Jeans - Casual Design,Men Fashion,Denim Jeans,Unbranded,1254,491,Yes,Sharma Textiles,Siliguri,West Bengal,734002,4.8,2025-10-29
PROD00143,Denim Jeans - Daily Wear Style,Men Fashion,Denim Jeans,Fashion Point Surat,432,500,Yes,Malhotra Wholesale Mart,Coimbatore,Tamil Nadu,641082,4.6,2024-05-26
PROD00144,Bedsheet Set - Trendy Fit,Home & Kitchen,Bedsheet Set,Metro Trendz,279,89,Yes,Verma Enterprises,Indore,Madhya Pradesh,452089,2.8,2025-09-18
PROD00145,Lipstick Combo - Classic Design,Jewellery & Cosmetics,Lipstick Combo,Unbranded,634,507,No,Chatterjee Impex,Ranchi,Jharkhand,834027,4.9,2024-03-26
PROD00146,Slippers - Daily Wear,Footwear,Slippers,Shree Krishna Textiles,766,708,No,Agarwal Trading Co,Udaipur,Rajasthan,313037,3.2,2025-05-05
PROD00147,Kajal Combo - Premium Style,Jewellery & Cosmetics,Kajal Combo,Shree Krishna Textiles,288,337,No,Desai Trading Co,Warangal,Telangana,506081,4.2,2024-05-27
PROD00148,Power Bank - Classic Style,Mobile Accessories,Power Bank,Riya Collections,722,40,No,Shah Trading Co,New Delhi,Delhi,11000,3.9,2025-08-04
PROD00149,Formal Shoes - Premium,Footwear,Formal Shoes,Riya Collections,359,497,Yes,Bhatt Enterprises,Bhopal,Madhya Pradesh,462018,4.2,2025-03-01
PROD00150,Kids Nightwear - Festive Style,Kids Wear,Kids Nightwear,Comfort Zone India,438,236,No,Sheikh Collections,Patna,Bihar,800019,3.4,2024-07-19
PROD00151,Bedsheet Set - Casual Fit,Home & Kitchen,Bedsheet Set,Om Wholesale Mart,710,560,Yes,Verma Wholesale Mart,Patna,Bihar,800057,3.4,2025-02-27
PROD00152,Cotton Shirt - Trendy Style,Men Fashion,Cotton Shirt,Priya Creations,970,233,Yes,Rathore Enterprises,Pune,Maharashtra,411045,3.5,2024-05-19
PROD00153,Window Curtain - Casual,Home & Kitchen,Window Curtain,Fashion Point Surat,693,122,Yes,Sheikh Trading Co,Nagpur,Maharashtra,440078,3.7,2025-11-20
PROD00154,Salwar Suit - Daily Wear Design,Women Ethnic Wear,Salwar Suit,No Brand,380,782,Yes,Shah Enterprises,Pune,Maharashtra,411016,4,2024-08-29
PROD00155,School Backpack - Daily Wear Design,Bags & Wallets,School Backpack,Generic,500,397,No,Rao Enterprises,Madurai,Tamil Nadu,625088,,2024-05-31
